season,mechanism,alpha,n_sims,n_finalists,top_judge_final,champion_mode,champion_mode_prob,champion_entropy,tpi_season_avg,fan_vs_uniform_contrast,robust_fail_rate,outlier_mult
11,dynamic_weight,0.5,50,3,Jennifer Grey,Kyle Massey,0.4,1.3348521049761,0.6983991395981193,0.64,0.76,5.0
11,dynamic_weight,0.5,50,3,Jennifer Grey,Kyle Massey,0.4,1.3348521049761,0.6983991395981193,0.64,0.8,10.0
11,percent_cap,0.5,50,3,Jennifer Grey,Kyle Massey,0.34,1.4640576063353374,0.6979599608853082,0.66,0.7,2.0
11,percent_cap,0.5,50,3,Jennifer Grey,Kyle Massey,0.34,1.4640576063353374,0.6979599608853082,0.66,0.74,5.0
11,percent_cap,0.5,50,3,Jennifer Grey,Kyle Massey,0.34,1.4640576063353374,0.6979599608853082,0.66,0.84,10.0
12,percent,0.5,50,3,Chelsea Kane,Chelsea Kane,0.36,1.311819039657293,0.7832810265760946,0.64,0.64,2.0
12,percent,0.5,50,3,Chelsea Kane,Chelsea Kane,0.36,1.311819039657293,0.7832810265760946,0.64,0.7,5.0
12,percent,0.5,50,3,Chelsea Kane,Chelsea Kane,0.36,1.311819039657293,0.7832810265760946,0.64,0.66,10.0
12,rank,0.5,50,3,Chelsea Kane,Hines Ward,0.58,0.6802920001921535,0.8821432178932178,0.58,0.48,2.0
12,rank,0.5,50,3,Chelsea Kane,Hines Ward,0.58,0.6802920001921535,0.8821432178932178,0.58,0.24,5.0
12,rank,0.5,50,3,Chelsea Kane,Hines Ward,0.58,0.6802920001921535,0.8821432178932178,0.58,0.24,10.0
12,percent_judge_save,0.5,50,3,Chelsea Kane,Chelsea Kane,0.36,1.097032390352067,0.7673418470418468,0.64,0.7,2.0
12,percent_judge_save,0.5,50,3,Chelsea Kane,Chelsea Kane,0.36,1.097032390352067,0.7673418470418468,0.64,0.6,5.0
12,percent_judge_save,0.5,50,3,Chelsea Kane,Chelsea Kane,0.36,1.097032390352067,0.7673418470418468,0.64,0.58,10.0
12,percent_sqrt,0.5,50,3,Chelsea Kane,Chelsea Kane,0.44,1.2886998970613674,0.7803670471315028,0.56,0.62,2.0
12,percent_sqrt,0.5,50,3,Chelsea Kane,Chelsea Kane,0.44,1.2886998970613674,0.7803670471315028,0.56,0.64,5.0
12,percent_sqrt,0.5,50,3,Chelsea Kane,Chelsea Kane,0.44,1.2886998970613674,0.7803670471315028,0.56,0.64,10.0
12,percent_log,0.5,50,3,Chelsea Kane,Kirstie Alley,0.34,1.4320040343271694,0.7302150411631705,0.72,0.66,2.0
12,percent_log,0.5,50,3,Chelsea Kane,Kirstie Alley,0.34,1.4320040343271694,0.7302150411631705,0.72,0.78,5.0
12,percent_log,0.5,50,3,Chelsea Kane,Kirstie Alley,0.34,1.4320040343271694,0.7302150411631705,0.72,0.78,10.0
12,dynamic_weight,0.5,50,3,Chelsea Kane,Chelsea Kane,0.36,1.3173739485287972,0.7758229177914552,0.64,0.62,2.0
12,dynamic_weight,0.5,50,3,Chelsea Kane,Chelsea Kane,0.36,1.3173739485287972,0.7758229177914552,0.64,0.66,5.0
12,dynamic_weight,0.5,50,3,Chelsea Kane,Chelsea Kane,0.36,1.3173739485287972,0.7758229177914552,0.64,0.68,10.0
12,percent_cap,0.5,50,3,Chelsea Kane,Chelsea Kane,0.38,1.3095302062790486,0.7825525317149465,0.62,0.64,2.0
12,percent_cap,0.5,50,3,Chelsea Kane,Chelsea Kane,0.38,1.3095302062790486,0.7825525317149465,0.62,0.7,5.0
12,percent_cap,0.5,50,3,Chelsea Kane,Chelsea Kane,0.38,1.3095302062790486,0.7825525317149465,0.62,0.64,10.0
13,percent,0.5,50,3,Rob Kardashian,Ricki Lake,0.38,1.2417850807219633,0.7819704405162738,0.7,0.8,2.0
13,percent,0.5,50,3,Rob Kardashian,Ricki Lake,0.38,1.2417850807219633,0.7819704405162738,0.7,0.8,5.0
13,percent,0.5,50,3,Rob Kardashian,Ricki Lake,0.38,1.2417850807219633,0.7819704405162738,0.7,0.88,10.0
13,rank,0.5,50,3,Rob Kardashian,Rob Kardashian,0.56,0.7672890558861942,0.7505479797979797,0.44,0.58,2.0
13,rank,0.5,50,3,Rob Kardashian,Rob Kardashian,0.56,0.7672890558861942,0.7505479797979797,0.44,0.58,5.0
13,rank,0.5,50,3,Rob Kardashian,Rob Kardashian,0.56,0.7672890558861942,0.7505479797979797,0.44,0.58,10.0
13,percent_judge_save,0.5,50,3,Rob Kardashian,Rob Kardashian,0.38,1.0778717853125312,0.7834291486291487,0.62,0.8,2.0
13,percent_judge_save,0.5,50,3,Rob Kardashian,Rob Kardashian,0.38,1.0778717853125312,0.7834291486291487,0.62,0.92,5.0
13,percent_judge_save,0.5,50,3,Rob Kardashian,Rob Kardashian,0.38,1.0778717853125312,0.7834291486291487,0.62,0.94,10.0
13,percent_sqrt,0.5,50,3,Rob Kardashian,Rob Kardashian,0.38,1.1683060726835728,0.7773328683662019,0.62,0.84,2.0
13,percent_sqrt,0.5,50,3,Rob Kardashian,Rob Kardashian,0.38,1.1683060726835728,0.7773328683662019,0.62,0.78,5.0
13,percent_sqrt,0.5,50,3,Rob Kardashian,Rob Kardashian,0.38,1.1683060726835728,0.7773328683662019,0.62,0.8,10.0
13,percent_log,0.5,50,3,Rob Kardashian,J.R. Martinez,0.36,1.3817628796875177,0.7858840899274574,0.8,0.74,2.0
13,percent_log,0.5,50,3,Rob Kardashian,J.R. Martinez,0.36,1.3817628796875177,0.7858840899274574,0.8,0.7,5.0
13,percent_log,0.5,50,3,Rob Kardashian,J.R. Martinez,0.36,1.3817628796875177,0.7858840899274574,0.8,0.74,10.0
13,dynamic_weight,0.5,50,3,Rob Kardashian,Rob Kardashian,0.4,1.1596148719498203,0.7745415263748597,0.6,0.88,2.0
13,dynamic_weight,0.5,50,3,Rob Kardashian,Rob Kardashian,0.4,1.1596148719498203,0.7745415263748597,0.6,0.7,5.0
13,dynamic_weight,0.5,50,3,Rob Kardashian,Rob Kardashian,0.4,1.1596148719498203,0.7745415263748597,0.6,0.84,10.0
13,percent_cap,0.5,50,3,Rob Kardashian,Ricki Lake,0.36,1.2413098026664136,0.7755256353214688,0.66,0.8,2.0
13,percent_cap,0.5,50,3,Rob Kardashian,Ricki Lake,0.36,1.2413098026664136,0.7755256353214688,0.66,0.76,5.0
13,percent_cap,0.5,50,3,Rob Kardashian,Ricki Lake,0.36,1.2413098026664136,0.7755256353214688,0.66,0.82,10.0
14,percent,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.36,1.3929077161272332,0.783898099350998,0.64,0.82,2.0
14,percent,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.36,1.3929077161272332,0.783898099350998,0.64,0.86,5.0
14,percent,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.36,1.3929077161272332,0.783898099350998,0.64,0.8,10.0
14,rank,0.5,50,3,Katherine Jenkins,William Levy,0.5,1.0450688447988092,0.8026140291806959,0.62,0.6,2.0
14,rank,0.5,50,3,Katherine Jenkins,William Levy,0.5,1.0450688447988092,0.8026140291806959,0.62,0.5,5.0
14,rank,0.5,50,3,Katherine Jenkins,William Levy,0.5,1.0450688447988092,0.8026140291806959,0.62,0.58,10.0
14,percent_judge_save,0.5,50,3,Katherine Jenkins,William Levy,0.44,1.2331452928097133,0.7833790684624017,0.7,0.72,2.0
14,percent_judge_save,0.5,50,3,Katherine Jenkins,William Levy,0.44,1.2331452928097133,0.7833790684624017,0.7,0.78,5.0
14,percent_judge_save,0.5,50,3,Katherine Jenkins,William Levy,0.44,1.2331452928097133,0.7833790684624017,0.7,0.78,10.0
14,percent_sqrt,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.34,1.4365965339979625,0.7784674906414039,0.66,0.82,2.0
14,percent_sqrt,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.34,1.4365965339979625,0.7784674906414039,0.66,0.84,5.0
14,percent_sqrt,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.34,1.4365965339979625,0.7784674906414039,0.66,0.82,10.0
14,percent_log,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.4,1.4095059582580634,0.7855514789911955,0.6,0.8,2.0
14,percent_log,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.4,1.4095059582580634,0.7855514789911955,0.6,0.86,5.0
14,percent_log,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.4,1.4095059582580634,0.7855514789911955,0.6,0.88,10.0
14,dynamic_weight,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.4,1.320097732079709,0.7930522007514762,0.6,0.8,2.0
14,dynamic_weight,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.4,1.320097732079709,0.7930522007514762,0.6,0.8,5.0
