outcome,model,term,estimate,ci_low,ci_high,std_err,p_value,n_obs,n_refits,note,fan_source_mechanism
fan_vote_index_mean,ols,C(industry)[T.Military],0.3165128539162299,-0.5642270685339044,1.197252776366364,0.4475704527941464,0.4799981752991213,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Model],-0.4206109710133114,-0.6694747181591494,-0.1717472238674735,0.12646645979695215,0.0009898653723252194,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Motivational Speaker],0.37351942067438304,-0.4943689854295301,1.2414078267782962,0.4410396270151036,0.3977155283764521,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Musician],0.6083262060727656,-0.25068385072647437,1.4673362628720055,0.4365278673945078,0.16447290757874092,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.News Anchor],-0.14186533015026317,-0.6464597469962016,0.3627290866956753,0.2564225214145685,0.580501352368797,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Politician],-0.15908288678708707,-0.6596586648928613,0.3414928913186872,0.2543803476528208,0.5321962557824143,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Producer],0.33953391294727125,-0.5341312961422076,1.21319912203675,0.4439752567759977,0.4450104779685407,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Racing Driver],0.16193721182751034,-0.2967051086452973,0.6205795323003179,0.23307079174237702,0.4877140880443752,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Radio Personality],-0.4154735471709754,-0.8794618617036022,0.04851476736165139,0.23578749496088425,0.07906616085384692,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Singer/Rapper],-0.052393326371299814,-0.19152963127832076,0.08674297853572113,0.0707056616828512,0.4592636200301686,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Social Media Personality],-0.03477099958678422,-0.35685811615338625,0.28731611697981785,0.16367678235800306,0.8319089873007867,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Social media personality],0.1506368409759652,-0.2999146189619624,0.6011883009138927,0.22895921462320135,0.5110890814542008,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.Sports Broadcaster],0.311732714874745,-0.5626115614673983,1.1860769912168885,0.444320342118453,0.4834705918965914,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,C(industry)[T.TV Personality],-0.016310910674698188,-0.15381910332257104,0.12119728197317466,0.06987829491718958,0.8155937976127017,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,age,-0.021114029049025484,-0.03948573259127036,-0.002742325506780604,0.009336049682098876,0.02443327797356936,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,age_sq,0.00012461949389596093,-8.51888579435096e-05,0.00033442784573543144,0.00010661946465598314,0.24339288376397664,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,is_us,0.9358550790647194,0.09223005743051738,1.7794801006989216,0.428709569416242,0.02980616802191842,421,1,fan_line_quick_ols_percent,percent
