season,week,tv_distance,rank_corr,n_contestants
21,4,0.04211428224245191,0.2727272727272727,10
21,5,0.03832172339752673,-0.3666666666666667,9
21,6,0.030752046301734445,0.8333333333333333,9
21,7,0.19034587324848393,0.11904761904761905,8
21,8,0.032971350240511954,0.4642857142857144,7
21,9,0.32287206397281,0.7714285714285715,6
21,10,0.042059743169884464,-0.39999999999999997,4
21,11,0.15168845887142288,0.7999999999999999,4
22,1,0.03361940703184274,-0.16083916083916086,12
22,2,0.058544280901520036,0.22377622377622378,12
22,3,0.04699710399870813,0.2545454545454546,11
22,4,0.07202564862444692,0.2606060606060606,10
22,5,0.0315959307049584,0.03333333333333333,9
22,6,0.04051985287497292,0.6,9
22,7,0.046505168383970334,0.8333333333333335,8
22,8,0.20023398192344705,0.942857142857143,6
22,9,0.3288565687848207,0.39999999999999997,5
22,10,0.031218396594384717,-0.5,3
23,1,0.025948062237208323,0.005494505494505494,13
23,2,0.07059960325614872,0.35714285714285715,13
23,3,0.03799228392590983,0.2867132867132868,12
23,4,0.08387070983893949,0.5272727272727273,11
23,5,0.026888597874282882,-0.08333333333333334,9
23,6,0.026686488374413498,0.18333333333333335,9
23,7,0.06752194204035772,0.0,8
23,8,0.0781876792151598,0.7500000000000002,7
23,9,0.02354897862005262,0.942857142857143,6
23,10,0.27600468232255393,0.3,5
23,11,0.07527003135720992,0.7999999999999999,4
24,1,0.02603863970387319,-0.06293706293706294,12
24,2,0.03904301243161072,0.23076923076923078,12
24,3,0.04324015248160107,0.27272727272727276,11
24,4,0.03856804092436221,0.5393939393939393,10
24,5,0.07770884759960994,0.35,9
24,6,0.22482286969571474,0.880952380952381,8
24,7,0.12398479671750896,0.6785714285714287,7
24,8,0.04485258101900155,0.7,5
24,9,0.19699956503635246,0.7999999999999999,4
24,10,0.005219979635934291,1.0,3
25,1,0.030871459459209584,0.010989010989010988,13
25,2,0.1577197160695958,0.35714285714285715,13
25,3,0.03885447581517114,-0.44545454545454555,11
25,4,0.031550611018761394,0.4727272727272727,11
25,5,0.06267164728509539,0.4666666666666666,10
25,6,0.049247113635348165,-0.016666666666666666,9
25,7,0.1300209657966322,0.9285714285714287,8
25,8,0.10305227370713015,0.6571428571428573,6
25,9,0.08919944939518575,0.7,5
25,10,0.09708536724980166,0.19999999999999998,4
