season,week,mechanism,n_active,n_exit,alpha,tau,m,r,ess,ess_ratio,evidence
7,9,percent,4,1,0.5,0.03,2000,500,893.7729801358245,0.44688649006791226,0.2934531809439778
7,10,percent,3,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
8,1,percent,13,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
8,2,percent,13,1,0.5,0.03,2000,500,1362.9394751361,0.6814697375680501,0.08499951795782565
8,3,percent,12,1,0.5,0.03,2000,500,1317.5337703649798,0.6587668851824899,0.10712890465417181
8,4,percent,11,2,0.5,0.03,2000,500,883.3387781860088,0.4416693890930044,0.04508716667300246
8,5,percent,9,1,0.5,0.03,2000,500,1122.596861694351,0.5612984308471755,0.11307449482096686
8,6,percent,8,1,0.5,0.03,2000,500,1169.0236167021933,0.5845118083510966,0.20157631326508796
8,7,percent,7,1,0.5,0.03,2000,500,1083.6605831122636,0.5418302915561318,0.2042223223237964
8,8,percent,6,1,0.5,0.03,2000,500,946.8692061541243,0.47343460307706214,0.17497227262609738
8,9,percent,5,1,0.5,0.03,2000,500,864.0628751493173,0.4320314375746586,0.20601227096945504
8,10,percent,4,1,0.5,0.03,2000,500,913.4024871805113,0.45670124359025566,0.3064477536340471
8,11,percent,3,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
9,1,percent,16,2,0.5,0.03,2000,500,1128.9983498784072,0.5644991749392037,0.013522413266222656
9,2,percent,14,1,0.5,0.03,2000,500,1414.1865244536484,0.7070932622268242,0.08266376930051363
9,3,percent,13,2,0.5,0.03,2000,500,923.6738271725368,0.4618369135862684,0.01906414514553153
9,4,percent,11,1,0.5,0.03,2000,500,1282.281909656956,0.641140954828478,0.11985334464725947
9,5,percent,10,1,0.5,0.03,2000,500,1241.6358349854047,0.6208179174927023,0.11557316767686797
9,6,percent,9,2,0.5,0.03,2000,500,663.6227230032393,0.33181136150161966,0.04007405487848158
9,7,percent,7,2,0.5,0.03,2000,500,559.1022508859661,0.27955112544298305,0.06484917284380418
9,8,percent,5,1,0.5,0.03,2000,500,889.4098124632507,0.44470490623162534,0.22041657336812162
9,9,percent,4,1,0.5,0.03,2000,500,794.4474002946437,0.39722370014732183,0.24097883152260027
9,10,percent,3,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
10,1,percent,11,0,0.5,0.03,2000,500,2000.000000000002,1.000000000000001,1.0
