season,week,mechanism,n_active,n_exit,fan_share_sum,fan_share_min,fan_share_max,fan_share_width_mean,fan_index_width_mean,judge_fan_rank_corr,observed_exit,pred_exit,match_pred,observed_exit_prob_at_posterior_mean
2,3,rank,8,1,1.0,0.027234705604222212,0.1989110738108281,0.29349211883433324,3.512342293067247,-0.5783552312542559,Giselle Fernandez,Giselle Fernandez,1,1.0
2,4,percent,7,1,1.0,0.06310857687765623,0.16581722588031278,0.35203636393608134,3.9305300498698807,-0.07207499701564472,Master P,Master P,1,0.8225036083223418
2,4,rank,7,1,0.9999999999999999,0.057303978326850864,0.18720243960978142,0.37201108651410564,4.156141058011369,0.07207499701564472,Master P,Master P,1,1.0
2,5,percent,6,1,1.0,0.061532316932815564,0.19511472417645057,0.3997773116504238,3.898486012097298,-0.08571428571428573,Tia Carrere,Tia Carrere,1,0.7104236123548382
2,5,rank,6,1,1.0,0.07374463700090163,0.20755097273856501,0.40227538979867233,4.047044633738429,-0.08571428571428573,Tia Carrere,Tia Carrere,1,1.0
2,6,percent,5,1,1.0,0.07236481898684198,0.24514634487987177,0.46656541756956643,3.9867765357543177,0.15811388300841897,George Hamilton,George Hamilton,1,0.8583988681232197
2,6,rank,5,1,1.0,0.07646535602973221,0.2801142006025109,0.4716511937623647,4.141971961693947,0.0,George Hamilton,George Hamilton,1,1.0
2,7,percent,4,1,1.0,0.0745352114829654,0.3517858660265183,0.506608916540122,3.6609497107489313,-0.316227766016838,Lisa Rinna,Lisa Rinna,1,0.9296664523351744
2,7,rank,4,1,0.9999999999999999,0.093788583220513,0.37918810423041016,0.5024265476678142,3.6780682664652713,-0.316227766016838,Lisa Rinna,Lisa Rinna,1,0.9999999999999967
2,8,percent,3,0,1.0,0.32647378912261216,0.3429600551999284,0.7446607723411726,4.893428898110776,-0.5,,,,
2,8,rank,3,0,1.0,0.3133247905817326,0.35264659971954504,0.7322223100224671,4.628836575118689,1.0,,,,
3,1,percent,11,1,1.0,0.04218639508158413,0.10394095534609303,0.24049916935170595,4.073658917082638,0.050114025233602574,Tucker Carlson,Tucker Carlson,1,0.3074682495020098
3,1,rank,11,1,1.0,0.02601642554425225,0.11434175174874699,0.24359278006387328,3.9466598331867035,-0.3006841514016155,Tucker Carlson,Tucker Carlson,1,1.0
3,2,percent,10,1,1.0,0.04494263834223875,0.11278087927542724,0.2640227860162259,4.021391079929016,-0.7077760731311632,Shanna Moakler,Shanna Moakler,1,0.2480812107566793
3,2,rank,10,1,1.0,0.016069218078657542,0.17307897594856508,0.24009839281510653,3.274028010565897,-0.7693218186208295,Shanna Moakler,Shanna Moakler,1,1.0
3,3,percent,9,1,0.9999999999999999,0.044225385336938546,0.12989863859158304,0.28668045703874057,3.9645579522254923,-0.5858290865554853,Harry Hamlin,Harry Hamlin,1,0.32100019637606936
3,3,rank,9,1,1.0,0.017343562729736646,0.18871474491473367,0.2651701681378286,3.302372531411001,-0.7257285699120191,Harry Hamlin,Harry Hamlin,1,1.0
3,4,percent,8,1,1.0,0.04545088239020002,0.1419394573514005,0.3161041641422715,3.924062342538986,-0.12198750911856665,Vivica A. Fox,Vivica A. Fox,1,0.4042682852687509
3,4,rank,8,1,1.0,0.02291006708688875,0.20704531214762303,0.2786807557724967,3.3202630262944783,-0.7319250547113999,Vivica A. Fox,Vivica A. Fox,1,1.0
3,5,percent,7,2,1.0,0.05247771050971406,0.18564429832156545,0.3225465478531569,3.4604833413234704,-0.09960238411119947,Sara Evans|Willa Ford,Sara Evans|Willa Ford,1,0.47387716564744525
3,5,rank,7,2,1.0,0.021122935206570607,0.30694210252138454,0.24942312544122366,2.907693203175828,-0.8366600265340756,Sara Evans|Willa Ford,Sara Evans|Willa Ford,1,0.9999999133337678
3,6,percent,5,0,1.0,0.19234784622755116,0.21070039782794078,0.5115989124219698,4.501637400016855,0.09999999999999999,,,,
3,6,rank,5,0,1.0000000000000002,0.1941769052387221,0.2063789247955036,0.5302482153838494,4.465097914690531,-0.7,,,,
3,7,percent,5,1,0.9999999999999999,0.0651135309653379,0.23501757734699094,0.45648143681308373,3.861586281826604,0.15389675281277312,Jerry Springer,Jerry Springer,1,0.8848517197146459
3,7,rank,5,1,1.0,0.09987967430958491,0.26705954586953884,0.4715424695549372,3.928567225511775,0.051298917604257706,Jerry Springer,Jerry Springer,1,1.0
3,8,percent,4,1,1.0000000000000002,0.0810773411919713,0.32159206691730335,0.5126604400397234,3.7484182963858625,0.632455532033676,Monique Coleman,Monique Coleman,1,0.9419236279336207
3,8,rank,4,1,1.0,0.14191525887232023,0.3069067236786939,0.5385317959995202,4.233893580388793,0.316227766016838,Monique Coleman,Monique Coleman,1,1.0
3,9,percent,3,0,0.9999999999999999,0.3167308361652905,0.3530329474588244,0.7385588391671405,4.90730909658954,,,,,
3,9,rank,3,0,1.0,0.3244521866346902,0.3419324795260084,0.7469105260473007,4.774815919709702,,,,,
3,10,percent,2,0,1.0000000000000002,0.47792374381852837,0.5220762561814718,0.9191319005036137,6.335832551789162,,,,,
3,10,rank,2,0,1.0,0.4990619621230323,0.5009380378769677,0.8963116798678499,5.826770901624355,,,,,
4,1,percent,11,0,1.0,0.08333814924390316,0.10400637459217268,0.2468502785417866,4.07389169059451,0.041096318847950085,,,,
4,1,rank,11,0,1.0,0.08564345716555112,0.0978095546781648,0.24872696786176043,4.126402930556357,-0.3105055201845118,,,,
4,2,percent,11,1,1.0,0.03797042760893199,0.1037259762654733,0.24208495962535456,4.03741322346123,-0.07461660742437484,Paulina Porizkova,Paulina Porizkova,1,0.22189770954061022
4,2,rank,11,1,1.0,0.013102119386946763,0.1281835649200472,0.23689310139575948,3.56018052117048,-0.6202505492151159,Paulina Porizkova,Paulina Porizkova,1,1.0
4,3,percent,10,1,1.0,0.036306434020644374,0.11727433084089225,0.2642463587993057,3.982916779364158,-0.38012007355450833,Shandi Finnessey,Shandi Finnessey,1,0.27671960096785714
4,3,rank,10,1,1.0,0.016356074780798684,0.14310476830227664,0.24258963245008763,3.5573656163148923,-0.6081921176872134,Shandi Finnessey,Shandi Finnessey,1,1.0
4,4,percent,9,1,1.0,0.04357624358089987,0.12770334047114293,0.28622157833784534,4.0823453629266275,-0.05882560647712125,Leeza Gibbons,Leeza Gibbons,1,0.40873715556339885
4,4,rank,9,1,1.0,0.02706190340812276,0.1522559294149085,0.27923091978510506,3.77646839187214,-0.4369902195443293,Leeza Gibbons,Leeza Gibbons,1,1.0
4,5,percent,8,1,1.0,0.05329675375503819,0.14144423687973165,0.318603334187926,3.9397423087188908,-0.1666666666666667,Clyde Drexler,Clyde Drexler,1,0.5785649089699039
4,5,rank,8,1,1.0,0.044593983861996665,0.15314439636484048,0.32469552263271756,4.020924877046707,-0.09523809523809526,Clyde Drexler,Clyde Drexler,1,1.0
4,6,percent,7,1,1.0,0.04908916571337989,0.16902838785668414,0.3609995993641629,4.08287958490883,0.2702812388086677,Heather Mills,Heather Mills,1,0.528519377909312
4,6,rank,7,1,1.0,0.037084912937782745,0.2342314390503334,0.33232314680374336,3.6769290807381556,-0.43244998209386837,Heather Mills,Heather Mills,1,1.0
4,7,percent,6,1,1.0,0.05627127559714454,0.2130717389874978,0.3968969180085946,4.12951682587857,-0.1471224715841249,John Ratzenberger,John Ratzenberger,1,0.7279266916943681
4,7,rank,6,1,0.9999999999999999,0.05718642014249223,0.239593158717949,0.3873873640430791,3.880468400318014,-0.3825184261187248,John Ratzenberger,John Ratzenberger,1,1.0
4,8,percent,5,1,1.0,0.07772963876091038,0.2516621777281087,0.4638560336376469,4.0280238378466375,0.3,Billy Ray Cyrus,Billy Ray Cyrus,1,0.8968690577115382
4,8,rank,5,1,1.0,0.09226382064662127,0.25930394829512887,0.4599490738494102,4.203249613477326,0.09999999999999999,Billy Ray Cyrus,Billy Ray Cyrus,1,1.0
4,9,percent,4,1,1.0,0.08131883106025652,0.30894404416423477,0.5104280303174841,3.5679921842324505,0.632455532033676,Ian Ziering,Ian Ziering,1,0.9407942397202993
4,9,rank,4,1,1.0,0.13202589558705016,0.33870792938632655,0.5592267656914861,4.194170098726279,0.316227766016838,Ian Ziering,Ian Ziering,1,1.0
4,10,percent,3,0,1.0,0.3144353037035891,0.34472084158399346,0.774621223610174,5.075716916679059,-0.5,,,,
4,10,rank,3,0,0.9999999999999999,0.3220138507704662,0.3430273946794111,0.7587986323147508,4.819397497587472,-1.0,,,,
5,1,percent,12,1,1.0,0.03475307855193267,0.09815180492056609,0.22992198053905102,4.150553377251934,-0.1126044983876379,Josie Maran,Josie Maran,1,0.24209589649147878
5,1,rank,12,1,1.0,0.025227598270865584,0.10634656765345293,0.22472059893715854,4.010678185621601,-0.3850347364222457,Josie Maran,Josie Maran,1,1.0
5,2,percent,11,1,1.0,0.038054943925634306,0.10461682576720469,0.23499482458643486,4.054873830717181,0.12395013660192701,Albert Reed,Albert Reed,1,0.21202240467360123
5,2,rank,11,1,1.0,0.01250262729947168,0.13221659006007122,0.23205905230426238,3.326433014843298,-0.5530083017624436,Albert Reed,Albert Reed,1,1.0
5,3,percent,10,1,1.0,0.042494574196118864,0.11678922240509874,0.2700081879969648,4.271730912892549,-0.1538643637241659,Wayne Newton,Wayne Newton,1,0.3351554890720513
5,3,rank,10,1,1.0,0.03220134960521952,0.12861813793528837,0.2637946406080041,3.9350246705274836,-0.28311042925246527,Wayne Newton,Wayne Newton,1,1.0
5,4,percent,9,1,1.0,0.045100847555594556,0.13332089768692654,0.2880470774172449,3.986300593664533,-0.13801311186847084,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,1,0.3523142098228831
5,4,rank,9,1,1.0,0.029891542329663387,0.14870338510821823,0.28758238476235315,3.920319445665947,-0.17251638983558856,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,1,1.0
5,5,percent,8,1,1.0,0.05140923854804761,0.1492074867959912,0.32703371163872125,4.1434345986934495,-0.024098134635593994,Mark Cuban,Mark Cuban,1,0.45333992420169894
5,5,rank,8,1,1.0,0.03825048602712993,0.16229843044605669,0.31447448191741323,3.909868224014417,-0.33737388489831593,Mark Cuban,Mark Cuban,1,1.0
5,6,percent,7,1,1.0,0.04949964805421716,0.1717645960079422,0.35787992084246134,4.026821240557814,-0.6306562238868914,Sabrina Bryan,Sabrina Bryan,1,0.5224626207815017
5,6,rank,7,1,0.9999999999999999,0.03157557968766595,0.23218675475747746,0.31748040095712937,3.3039352958768116,-0.6847124716486249,Sabrina Bryan,Sabrina Bryan,1,1.0
5,7,percent,6,1,1.0,0.053338396440471274,0.1948556129561448,0.4147536347088618,3.8485514323239194,0.23190841426097938,Jane Seymour,Jane Seymour,1,0.6859888258441691
5,7,rank,6,1,1.0,0.07341305504844357,0.2138343208482563,0.3921769214406469,4.033265087391052,0.20291986247835697,Jane Seymour,Jane Seymour,1,1.0
5,8,percent,5,1,1.0,0.06820543505595571,0.23804260183416573,0.4874581129808016,4.096884537794669,-0.6,Cameron Mathison,Cameron Mathison,1,0.8138654065579437
5,8,rank,5,1,0.9999999999999999,0.05704065887126088,0.31813735970650076,0.40507595823975207,3.2577214577961207,-0.7,Cameron Mathison,Cameron Mathison,1,0.9999999999999933
5,9,percent,4,1,1.0,0.07923179488729586,0.31564458589885874,0.5058932064818795,3.641929363820252,0.7378647873726218,Jennie Garth,Jennie Garth,1,0.9378972011517551
5,9,rank,4,1,1.0,0.09651230729829503,0.3577098644073681,0.5155532685081603,3.9459279362860453,-0.316227766016838,Jennie Garth,Jennie Garth,1,0.9999999999999967
5,10,percent,3,0,1.0,0.3322303336559853,0.3351760850067869,0.7395156880346422,4.610430926482721,-0.5,,,,
5,10,rank,3,0,1.0,0.31082262225595986,0.35101419037319476,0.7158194361738879,4.628210262821232,-0.5,,,,
6,1,percent,12,0,0.9999999999999999,0.07399079155309671,0.09080618485336839,0.2301489604968949,4.149541035866132,-0.2645605512822658,,,,
6,1,rank,12,0,0.9999999999999999,0.07868250056452633,0.08955021442215996,0.23202372510981673,4.164906353728173,0.031747266153871904,,,,
6,2,percent,12,2,1.0,0.04151171917247601,0.09805507274427927,0.22317482796744928,4.083721015097514,-0.02108992406533786,Monica Seles|Penn Jillette,Monica Seles|Penn Jillette,1,0.1030874154523169
6,2,rank,12,2,1.0,0.014988935660684235,0.11481662097290422,0.2036643274686355,3.7480874091761898,0.05272481016334465,Monica Seles|Penn Jillette,Monica Seles|Penn Jillette,1,0.9999999990656433
6,3,percent,10,1,1.0,0.041817349564737316,0.11429110679869521,0.2588667443127146,4.063907768542951,-0.10630191791172282,Steve Guttenberg,Steve Guttenberg,1,0.27094005616221034
6,3,rank,10,1,1.0,0.016766022883446922,0.15884382908384345,0.25430555344607253,3.6847142015949457,-0.5252565355638068,Steve Guttenberg,Steve Guttenberg,1,1.0
6,4,percent,9,1,1.0,0.04761484592021557,0.13471683053067524,0.29333110142715596,4.21597273015519,-0.11066334899863732,Adam Carolla,Adam Carolla,1,0.4009550854387017
6,4,rank,9,1,1.0,0.03460289225372097,0.1319782222651196,0.2950424819364821,3.994779941468531,-0.22983926330486215,Adam Carolla,Adam Carolla,1,1.0
6,5,percent,8,1,1.0,0.04745321078970682,0.14401923881616643,0.33181052876698797,4.062734331569447,0.156637875131361,Priscilla Presley,Priscilla Presley,1,0.462571207691543
6,5,rank,8,1,0.9999999999999999,0.03871458231851144,0.15126810986443348,0.3199134133695437,4.094913654576553,0.012049067317796997,Priscilla Presley,Priscilla Presley,1,1.0
6,6,percent,7,1,1.0,0.05283257321683838,0.17298442582235188,0.36135837667145027,4.005548803054569,0.01801874925391118,Marlee Matlin,Marlee Matlin,1,0.6094984992258784
6,6,rank,7,1,1.0,0.047527716087092796,0.17430055331016972,0.37322951904834706,4.1378145179739985,-0.12613124477737828,Marlee Matlin,Marlee Matlin,1,1.0
6,7,percent,6,1,1.0,0.0527757477843593,0.19440934699464157,0.3926905265805591,3.8611408366265594,0.028988551782622423,Shannon Elizabeth,Shannon Elizabeth,1,0.6653775992423407
6,7,rank,6,1,1.0,0.04434180331134121,0.255473722765016,0.3953851440313858,3.840105973337419,-0.49280538030458115,Shannon Elizabeth,Shannon Elizabeth,1,1.0
6,8,percent,5,1,1.0,0.06808856524005631,0.25263996451698556,0.44515541986170853,3.940772398641562,0.09999999999999999,Mario,Mario,1,0.7944009809866128
6,8,rank,5,1,1.0,0.05414028216145395,0.3180410595247213,0.4134478636083858,3.396886249626557,-0.7,Mario,Mario,1,0.9999999999999933
6,9,percent,4,1,1.0,0.08383500416374295,0.31533649752790305,0.5158640171932055,3.784029109304993,0.7999999999999999,Marissa Jaret Winokur,Marissa Jaret Winokur,1,0.9468659320258415
6,9,rank,4,1,1.0,0.13695920365942146,0.31278613622297025,0.548765312182854,4.140265509691974,0.19999999999999998,Marissa Jaret Winokur,Marissa Jaret Winokur,1,1.0
6,10,percent,3,0,1.0,0.3113274703965221,0.36441396910497503,0.728294838905552,4.719243203039187,-1.0,,,,
6,10,rank,3,0,1.0,0.31869798557568624,0.3482529008373675,0.7410182919871211,4.848403825641039,0.5,,,,
7,1,percent,13,2,1.0,0.03729045704964379,0.08790995780283874,0.2050325188202587,3.9242444849851745,-0.1438485297890913,Jeffrey Ross|Ted McGinley,Jeffrey Ross|Ted McGinley,1,0.07080987648554843
7,1,rank,13,2,1.0,0.013085756672161912,0.12199554856275845,0.19843540660726555,3.5882718488864906,-0.17151170859468579,Jeffrey Ross|Ted McGinley,Jeffrey Ross|Ted McGinley,1,1.9287498479658466e-10
7,2,percent,11,2,1.0,0.03920642191490918,0.10844978951558129,0.23963437834257606,3.9490028695572685,-0.473594504567854,Kim Kardashian|Misty May-Treanor,Kim Kardashian|Misty May-Treanor,1,0.10122194514380883
7,2,rank,11,2,1.0,0.016302492246226267,0.17940024588395542,0.17626112454630175,2.334699351302726,-0.34025236250506014,Kim Kardashian|Misty May-Treanor,Kim Kardashian|Misty May-Treanor,1,1.9287498479658466e-10
7,3,percent,9,0,1.0,0.10350330560604544,0.11824174885800792,0.2957203017097394,4.2141809605080285,-0.025210974204480537,,,,
7,3,rank,9,0,1.0,0.10234784462740835,0.11967819978920619,0.2989149373495406,4.20834742783064,0.10924755488608233,,,,
7,4,percent,9,1,1.0,0.04612631744302623,0.12462388487581033,0.30069692688139804,4.223886754319007,0.1191759143062248,Rocco DiSpirito,Rocco DiSpirito,1,0.388625143435686
7,4,rank,9,1,1.0,0.03873354863376409,0.148469182953942,0.29320524403560794,3.996064925273709,-0.314964916380737,Rocco DiSpirito,Rocco DiSpirito,1,1.0
7,5,percent,8,1,1.0,0.0509603140556616,0.1416967057276554,0.32646724669273375,4.075105478638618,0.36147201953390995,Toni Braxton,Toni Braxton,1,0.414906301602135
7,5,rank,8,1,0.9999999999999999,0.027613099414345227,0.1900023358619505,0.28428791673984977,3.5017567583340226,-0.6024533658898499,Toni Braxton,Toni Braxton,1,1.0
7,6,percent,7,1,1.0,0.06154609880934509,0.16457861476810007,0.355971316489176,4.0827918868463255,0.702731220902536,Cloris Leachman,Cloris Leachman,1,0.6689620968373604
7,6,rank,7,1,0.9999999999999999,0.05064271755546845,0.18413636628306387,0.3575719243811664,3.997708859894957,0.12613124477737828,Cloris Leachman,Cloris Leachman,1,1.0
7,7,percent,6,1,1.0,0.05254019345957742,0.20731954626116925,0.39184460121464243,3.9336876580290525,-0.49280538030458115,Susan Lucci,Susan Lucci,1,0.6715808319087386
7,7,rank,6,1,1.0000000000000002,0.03876240577262034,0.2730504955848038,0.36690594659294967,3.6872050046920855,-0.6377481392176932,Susan Lucci,Susan Lucci,1,1.0
7,8,percent,5,1,0.9999999999999999,0.06713141566146578,0.2480448192110004,0.46106831791290476,3.768349714908036,-0.10259783520851541,Maurice Greene,Maurice Greene,1,0.8351539273923186
7,8,rank,5,1,0.9999999999999999,0.08055216923735353,0.28991672998005596,0.45253610505256825,4.076982482069237,-0.20519567041703082,Maurice Greene,Maurice Greene,1,1.0
7,9,percent,4,1,1.0,0.08829803868352912,0.3194964582701615,0.5111124801404346,3.7806745386699037,0.632455532033676,Cody Linley,Cody Linley,1,0.9490439296350223
7,9,rank,4,1,1.0,0.12198556772800373,0.3165858815644532,0.5422523251766249,4.099692315521821,0.316227766016838,Cody Linley,Cody Linley,1,1.0
7,10,percent,3,0,0.9999999999999999,0.3205914602740838,0.3462375787000181,0.7365357005805301,4.707601881684322,-0.8660254037844387,,,,
7,10,rank,3,0,1.0,0.322166592417992,0.3449528831779616,0.7514249133588354,4.910611070244703,0.0,,,,
8,1,percent,13,0,1.0,0.0706386819636318,0.08598938266866162,0.21645437164119113,4.27604033273478,-0.002758644307162943,,,,
8,1,rank,13,0,1.0,0.07038448634749782,0.08267655271015012,0.21238995785887038,4.1272622278102125,0.1737945913512654,,,,
8,2,percent,13,1,1.0,0.03685623845481474,0.0883348074934608,0.20949524250116064,4.110457560978036,-0.09418607779765285,Belinda Carlisle,Belinda Carlisle,1,0.16496757104877416
8,2,rank,13,1,0.9999999999999999,0.011511045122182335,0.10732698907767721,0.19924219590121886,3.724383355937943,-0.675923617136097,Belinda Carlisle,Belinda Carlisle,1,1.0
8,3,percent,12,1,1.0,0.039309776433075476,0.09397657988058412,0.22483979533129994,4.142180694135496,-0.3633298237609784,Denise Richards,Denise Richards,1,0.21758965214769985
8,3,rank,12,1,0.9999999999999998,0.018011259027785883,0.1148546360616049,0.21811072077397395,3.74904621308154,-0.46562657025678783,Denise Richards,Denise Richards,1,1.0
8,4,percent,11,2,1.0,0.0412541804599328,0.11092681933771545,0.23659320842451173,4.044709222630083,0.06392760709681124,Holly Madison|Steve Wozniak,Holly Madison|Steve Wozniak,1,0.18550464597138577
8,4,rank,11,2,1.0,0.02295442053065596,0.14404432347989496,0.22373154866485068,4.029294387930691,0.20091533658997818,Holly Madison|Steve Wozniak,Holly Madison|Steve Wozniak,1,0.9999999990657001
8,5,percent,9,1,1.0,0.04530872794721645,0.12883398043409397,0.30004492423754503,4.0628460712659615,-0.33473096350228926,David Alan Grier,David Alan Grier,1,0.32105126770659426
8,5,rank,9,1,1.0,0.019696283107013043,0.1678456630444768,0.2604158747677912,3.3724843393378556,-0.5774109120414489,David Alan Grier,David Alan Grier,1,1.0
8,6,percent,8,1,1.0,0.051187859889100296,0.1436311177040123,0.3319401724106826,3.9245214257830603,-0.047905050476530354,Steve-O,Steve-O,1,0.5431479858952293
8,6,rank,8,1,1.0,0.041011854100893204,0.1534146976470098,0.3204921684061608,3.9670741916506334,-0.08383383833392813,Steve-O,Steve-O,1,1.0
8,7,percent,7,1,1.0,0.05145763775167566,0.1648227333957378,0.3665314408845304,4.0677399800534095,0.16216874328520064,Lawrence Taylor,Lawrence Taylor,1,0.6248010750925992
8,7,rank,7,1,1.0,0.06016065471152169,0.194973176271507,0.35554135343135224,4.051616354012288,-0.01801874925391118,Lawrence Taylor,Lawrence Taylor,1,1.0
8,8,percent,6,1,1.0,0.05458005765342164,0.20164880906412638,0.40346820748339146,3.9903286084190523,-0.20291986247835697,Chuck Wicks,Chuck Wicks,1,0.6654317773033319
8,8,rank,6,1,0.9999999999999999,0.053663762231679714,0.24472076487596064,0.3944437436928847,3.9172575179521036,0.028988551782622423,Chuck Wicks,Chuck Wicks,1,1.0
8,9,percent,5,1,1.0,0.06800809273814298,0.2401030861405929,0.44790977756608497,3.7776062757493465,-0.35909242322980395,Lil' Kim,Lil' Kim,1,0.8097966666906188
8,9,rank,5,1,1.0,0.07500797777902611,0.29918603022016277,0.42580858329595017,3.7058382336001303,-0.20519567041703082,Lil' Kim,Lil' Kim,1,1.0
8,10,percent,4,1,1.0,0.08860816818113401,0.31629899610852463,0.5235152591110672,3.7987271978452637,0.19999999999999998,Ty Murray,Ty Murray,1,0.9597061800257685
8,10,rank,4,1,1.0,0.14083952948513073,0.3220440568028018,0.5809824082195254,4.387143660429723,0.19999999999999998,Ty Murray,Ty Murray,1,1.0
8,11,percent,3,0,1.0,0.32584943590881965,0.3461002117720623,0.7594511530040529,4.98296656607961,-1.0,,,,
8,11,rank,3,0,1.0,0.3156304186232974,0.3441056434086271,0.7678537345447541,5.004689446497012,0.5,,,,
9,1,percent,16,2,1.0,0.0324237139185652,0.07290145398931903,0.1739697910932307,4.047407681092645,0.3362846489561547,Ashley Hamiliton|Macy Gray,Ashley Hamiliton|Macy Gray,1,0.035859150162845556
9,1,rank,16,2,1.0,0.014331649155937537,0.07629487045398799,0.16045728327058895,3.8131263463050318,0.07669649888473705,Ashley Hamiliton|Macy Gray,Ashley Hamiliton|Macy Gray,1,0.9999999990657001
9,2,percent,14,1,1.0000000000000002,0.033732337671404496,0.07964002116725416,0.20162143558724918,4.137437877014031,-0.03136066635851826,Kathy Ireland,Kathy Ireland,1,0.15239488134519963
9,2,rank,14,1,1.0,0.016617939797570248,0.08940393030285185,0.19052930034887067,3.9242242297254344,0.029120618761481237,Kathy Ireland,Kathy Ireland,1,1.0
9,3,percent,13,2,1.0,0.03385719039260086,0.09412069134632091,0.21164598322549408,4.194251341879364,-0.013793221535814715,Debi Mazar|Tom DeLay,Debi Mazar|Tom DeLay,1,0.07370090255956245
9,3,rank,13,2,1.0,0.01455131842038959,0.1169601039171534,0.19069320634012105,3.4670833146747224,-0.1903464571942431,Debi Mazar|Tom DeLay,Debi Mazar|Tom DeLay,1,1.0
9,4,percent,11,1,1.0,0.04074642063028457,0.10080389497026082,0.2462714502671454,4.0405736249624065,-0.2608757125739691,Chuck Liddell,Chuck Liddell,1,0.26013011646787676
9,4,rank,11,1,1.0,0.018309300639419664,0.12379212273303454,0.22544363772497053,3.6819036419986304,-0.47140698938804937,Chuck Liddell,Chuck Liddell,1,1.0
9,5,percent,10,1,1.0,0.042879046172870874,0.11671515848285859,0.2582116699079554,3.8903424354002936,0.6893123494842632,Natalie Coughlin,Natalie Coughlin,1,0.26951984164853887
9,5,rank,10,1,1.0,0.025700996811011328,0.13822121562200038,0.2556831103867019,3.781812891619711,-0.473902240270431,Natalie Coughlin,Natalie Coughlin,1,1.0
9,6,percent,9,2,1.0,0.05097983526564947,0.14537315370374268,0.2802917061760912,3.8308125179675705,0.11666666666666665,Louie Vito|Melissa Joan Hart,Louie Vito|Melissa Joan Hart,1,0.24466559783555764
9,6,rank,9,2,1.0,0.023694009801225782,0.16712244769945273,0.2638360398679733,3.4518895328507275,0.09999999999999999,Louie Vito|Melissa Joan Hart,Louie Vito|Melissa Joan Hart,1,1.0
9,7,percent,7,2,1.0,0.05504081195408501,0.18428016205270126,0.3333971005870769,3.696155286965443,0.4504687313477795,Mark Dacascos|Michael Irvin,Mark Dacascos|Michael Irvin,1,0.5395364781395686
9,7,rank,7,2,1.0,0.044866672497750636,0.20773794547164023,0.3236750016443901,3.5703085370850407,0.5405624776173354,Mark Dacascos|Michael Irvin,Mark Dacascos|Michael Irvin,1,1.0
